Produktgruppe,RowID,Kontrolle,K von,BE am,BE von,K am,K2 von,C am,C von,Reopen C2 am,Reopen C2 von
NA,7354135112454020,,SM,,,,,,,,
NA,1724635578240900,,DM,,,,,,,,
NA,6228235205611396,,JHU,,LK,,EK,,,,
NA,3976435391926148,,DM,,,,,,,,
NA,8480035019296644,,JHU,,LK,,EK,,,,
NA,317260694687620,,JHU,,,,,,,,
NA,4820860322058116,,,,,,,,,,
NA,2569060508372868,,SM,,,,,,,,
NA,7072660135743364,,DM,,LK,,,,,,
NA,1443160601530244,,EK,,SM,,,,,,
NA,5946760228900740,,DM,,,,,,,,
NA,3694960415215492,,DM,,,,,,,,
NA,8198560042585988,,LK,,,,,,,,
NA,880210648108932,,HI,,DM,,DM,,,,
NA,5383810275479428,,EK,,,,,,,,
NA,3132010461794180,,EK,,LK,,,,,,
NA,7635610089164676,,EK,,LK,,,,,,
NA,2006110554951556,,HI,,,,,,,,
NA,6509710182322052,,LK,,,,,,,,
NA,4257910368636804,,EK,,,,,,,,
NA,8761509996007300,,EK,,,,,,,,
NA,176523206332292,,SM,,,,,,,,
NA,4680122833702788,,EK,,LK,,,,,,
NA,2428323020017540,,JHU,,,,,,,,
NA,6931922647388036,,,,,,,,,,
NA,1302423113174916,,EK,,LK,,,,,,
NA,5806022740545412,,HI,,LK,,,,,,
NA,3554222926860164,,EK,,,,,,,,
NA,8057822554230660,,SM,,,,,,,,
NA,739473159753604,,SM,,LK,,EK,,,,
NA,5243072787124100,,SM,,LK,,EK,,,,
NA,2991272973438852,,EK,,LK,,,,,,
NA,7494872600809348,,LK,,,,,,,,
NA,1865373066596228,,DM,,LK,,,,,,
NA,6368972693966724,,DM,,,,,,,,
NA,4117172880281476,,EK,,LK,,EK,,,,
NA,8620772507651972,,EK,,LK,,EK,,,,
NA,457998183042948,,SM,,,,,,,,
NA,4961597810413444,,SM,,LK,,EK,,,,
NA,2709797996728196,,EK,,LK,,,,,,
NA,7213397624098692,,EK,,LK,,,,,,
NA,1583898089885572,,JHU,,,,,,,,
NA,6087497717256068,,,,,,,,,,
NA,3835697903570820,,HI,,SM,,,,,,
NA,8339297530941316,,EK,,LK,,EK,,,,
NA,1020948136464260,,EK,,LK,,,,,,
NA,5524547763834756,,EK,,LK,,,,,,
NA,3272747950149508,,SM,,,,,,,,
NA,7776347577520004,,EK,,LK,,,,,,
NA,2146848043306884,,EK,,,,,,,,
NA,6650447670677380,,HI,,LK,,,,,,
NA,4398647856992132,,DM,,,,,,,,
NA,8902247484362628,,DM,,,,,,,,
NA,106154462154628,,HI,,,,,,,,
NA,4609754089525124,,HI,,,,,,,,
NA,2357954275839876,,EK,,,,,,,,
NA,6861553903210372,,EK,,LK,,EK,,,,
NA,1232054368997252,,EK,,,,,,,,
NA,5735653996367748,,EK,,LK,,EK,,,,
NA,3483854182682500,,JHU,,,,,,,,
NA,7987453810052996,,,,,,,,,,
NA,669104415575940,,EK,,LK,,,,,,
NA,5172704042946436,,HI,,,,,,,,
NA,2920904229261188,,EK,,SM,,,,,,
NA,7424503856631684,,DM,,,,,,,,
NA,1795004322418564,,EK,,LK,,,,,,
NA,6298603949789060,,LK,,,,,,,,
NA,4046804136103812,,SM,,,,,,,,
NA,8550403763474308,,EK,,LK,,,,,,
NA,387629438865284,,EK,,LK,,,,,,
NA,4891229066235780,,EK,,LK,,,,,,
NA,2639429252550532,,SM,,,,,,,,
NA,7143028879921028,,EK,,LK,,,,,,
NA,1513529345707908,,EK,,,,,,,,
NA,6017128973078404,,LK,,,,,,,,
NA,3765329159393156,,SM,,,,,,,,
NA,8268928786763652,,SM,,,,,,,,
NA,950579392286596,,JHU,,,,,,,,
NA,5454179019657092,,,,,,,,,,
NA,3202379205971844,,LK,,,,,,,,
NA,7705978833342340,,SM,,,,,,,,
NA,2076479299129220,,SM,,LK,,EK,,,,
NA,6580078926499716,,SM,,,,,,,,
NA,4328279112814468,,SM,,,,,,,,
NA,8831878740184964,,EK,,,,,,,,
NA,246891950509956,,SM,,,,,,,,
NA,4750491577880452,,EK,,,,,,,,
NA,2498691764195204,,DM,,,,,,,,
NA,7002291391565700,,DM,,,,,,,,
NA,1372791857352580,,SM,,,,,,,,
NA,5876391484723076,,DM,,,,,,,,
NA,3624591671037828,,HI,,LK,,,,,,
NA,8128191298408324,,SM,,,,,,,,
NA,809841903931268,,EK,,,,,,,,
NA,5313441531301764,,DM,,,,,,,,
NA,3061641717616516,,JHU,,,,,,,,
NA,7565241344987012,,,,,,,,,,
NA,1935741810773892,,SM,,LK,,EK,,,,
NA,6439341438144388,,DM,,,,,,,,
NA,4187541624459140,,SM,,,,,,,,
NA,8691141251829636,,LK,,,,,,,,
NA,528366927220612,,SM,,,,,,,,
NA,5031966554591108,,EK,,,,,,,,
NA,2780166740905860,,EK,,,,,,,,
NA,7283766368276356,,DM,,,,,,,,
NA,1654266834063236,,DM,,,,,,,,
NA,6157866461433732,,SM,,,,,,,,
NA,3906066647748484,,HI,,,,,,,,
NA,8409666275118980,,EK,,,,,,,,
NA,1091316880641924,,EK,,,,,,,,
NA,5594916508012420,,JHU,,LK,,EK,,,,
NA,3343116694327172,,SM,,,,,,,,
NA,7846716321697668,,SM,,,,,,,,
NA,2217216787484548,,JHU,,,,,,,,
NA,6720816414855044,,,,,,,,,,
NA,4469016601169796,,EK,,,,,,,,
NA,8972616228540292,,EK,,,,,,,,
NA,18193531932548,,SM,,,,,,,,
NA,4521793159303044,,HI,,SM,,,,,,
NA,2269993345617796,,DM,,,,,,,,
NA,6773592972988292,,EK,,LK,,,,,,
NA,1144093438775172,,LK,,LK,,EK,,,,
NA,5647693066145668,,DM,,,,,,,,
NA,3395893252460420,,DM,,,,,,,,
NA,7899492879830916,,DM,,,,,,,,
NA,581143485353860,,SM,,,,,,,,
NA,5084743112724356,,HI,,,,,,,,
NA,2832943299039108,,EK,,LK,,EK,,,,
NA,7336542926409604,,EK,,LK,,,,,,
NA,1707043392196484,,SM,,,,,,,,
NA,6210643019566980,,EK,,LK,,,,,,
NA,3958843205881732,,JHU,,,,,,,,
NA,8462442833252228,,,,,,,,,,
NA,299668508643204,,DM,,,,,,,,
NA,4803268136013700,,HI,,,,,,,,
NA,2551468322328452,,EK,,,,,,,,
NA,7055067949698948,,SM,,,,,,,,
NA,1425568415485828,,SM,,LK,,EK,,,,
NA,5929168042856324,,DM,,,,,,,,
NA,3677368229171076,,EK,,LK,,,,,,
NA,8180967856541572,,LK,,,,,,,,
NA,862618462064516,,DM,,,,,,,,
NA,5366218089435012,,SM,,,,,,,,
NA,3114418275749764,,EK,,LK,,,,,,
NA,7618017903120260,,DM,,LK,,LK,,,,
NA,1988518368907140,,SM,,,,,,,,
NA,6492117996277636,,JHU,,LK,,LK,,,,
NA,4240318182592388,,SM,,,,,,,,
NA,8743917809962884,,SM,,,,,,,,
NA,158931020287876,,JHU,,,,,,,,
NA,4662530647658372,,,,,,,,,,
NA,2410730833973124,,HI,,,,,,,,
NA,6914330461343620,,LK,,SM,,,,,,
NA,1284830927130500,,SM,,,,,,,,
NA,5788430554500996,,EK,,LK,,,,,,
NA,3536630740815748,,DM,,,,,,,,
NA,8040230368186244,,SM,,,,,,,,
NA,721880973709188,,EK,,LK,,,,,,
NA,5225480601079684,,EK,,LK,,,,,,
NA,2973680787394436,,SM,,,,,,,,
NA,7477280414764932,,EK,,LK,,,,,,
NA,1847780880551812,,EK,,LK,,,,,,
NA,6351380507922308,,SM,,LK,,LK,,,,
NA,4099580694237060,,EK,,,,,,,,
NA,8603180321607556,,SM,,LK,,LK,,,,
NA,440405996998532,,DM,,LK,,LK,,,,
NA,4944005624369028,,EK,,LK,,,,,,
NA,2692205810683780,,JHU,,,,,,,,
NA,7195805438054276,,,,,,,,,,
NA,1566305903841156,,EK,,LK,,,,,,
NA,6069905531211652,,HI,,LK,,,,,,
NA,3818105717526404,,LK,,SM,,,,,,
NA,8321705344896900,,SM,,,,,,,,
NA,1003355950419844,,EK,,LK,,,,,,
NA,5506955577790340,,LK,,,,,,,,
NA,3255155764105092,,SM,,,,,,,,
NA,7758755391475588,,LK,,,,,,,,
NA,2129255857262468,,LK,,HI,,HI,,,,
NA,6632855484632964,,SM,,,,,,,,
NA,4381055670947716,,DM,,LK,,,,,,
NA,8884655298318212,,DM,,,,,,,,
NA,88562276110212,,SM,,,,,,,,
NA,4592161903480708,,JHU,,,,,,,,
NA,2340362089795460,,LK,,,,,,,,
NA,6843961717165956,,SM,,,,,,,,
NA,1214462182952836,,JHU,,,,,,,,
NA,5718061810323332,,,,,,,,,,
NA,3466261996638084,,LK,,,,,,,,
NA,7969861624008580,,LK,,SM,,,,,,
NA,651512229531524,,EK,,LK,,,,,,
NA,5155111856902020,,SM,,,,,,,,
NA,2903312043216772,,LK,,,,,,,,
NA,7406911670587268,,SM,,,,,,,,
NA,1777412136374148,,DM,,,,,,,,
NA,6281011763744644,,SM,,,,,,,,
NA,4029211950059396,,SM,,,,,,,,
NA,8532811577429892,,SM,,,,,,,,
NA,370037252820868,,LK,,,,,,,,
NA,4873636880191364,,HI,,LK,,,,,,
NA,2621837066506116,,EK,,,,,,,,
NA,7125436693876612,,LK,,,,,,,,
NA,1495937159663492,,DM,,,,,,,,
NA,5999536787033988,,SM,,,,,,,,
NA,3747736973348740,,JHU,,,,,,,,
NA,8251336600719236,,,,,,,,,,
NA,932987206242180,,SM,,,,,,,,
NA,5436586833612676,,SM,,,,,,,,
NA,3184787019927428,,EK,,LK,,DM,,,,
NA,7688386647297924,,DM,,,,,,,,
NA,2058887113084804,,SM,,,,,,,,
NA,6562486740455300,,EK,,,,,,,,
NA,4310686926770052,,HI,,SM,,,,,,
NA,8814286554140548,,SM,,,,,,,,
NA,229299764465540,,SM,,LK,,DM,,,,
NA,4732899391836036,,EK,,DM,,DM,,,,
NA,2481099578150788,,EK,,,,,,,,
NA,6984699205521284,,EK,,,,,,,,
NA,1355199671308164,,DM,,,,,,,,
NA,5858799298678660,,EK,,LK,,,,,,
NA,3606999484993412,,EK,,HI,,DM,,,,
NA,8110599112363908,,SM,,,,,,,,
NA,792249717886852,,JHU,,,,,,,,
NA,5295849345257348,,,,,,,,,,
