Timestamp,Group,RowID,Phase,DateField,Date,User,Marketplace
2026-01-05 12:40:16,NF,6890724515778436,1,Kontrolle,2026-01-05,DM,tr
2026-01-05 12:40:16,NF,1261224981565316,1,Kontrolle,2026-01-05,DM,pl
2026-01-05 12:40:16,NF,3614274177404804,1,Kontrolle,2026-01-05,DM,au
2026-01-05 12:40:16,NF,8117873804775300,1,Kontrolle,2026-01-05,DM,be
2026-01-05 12:40:16,NF,799524410298244,1,Kontrolle,2026-01-05,DM,ca
2026-01-05 12:40:16,NF,5303124037668740,1,Kontrolle,2026-01-05,DM,com
2026-01-05 12:40:16,NF,3051324223983492,1,Kontrolle,2026-01-05,DM,com.mx
2026-01-05 12:40:16,NF,7554923851353988,1,Kontrolle,2026-01-05,DM,co.uk
2026-01-05 12:40:16,NF,1925424317140868,1,Kontrolle,2026-01-05,DM,de
2026-01-05 12:40:16,NF,4177224130826116,1,Kontrolle,2026-01-05,DM,fr
2026-01-05 12:40:16,NF,8680823758196612,1,Kontrolle,2026-01-05,DM,it
2026-01-05 12:40:16,NF,5021649060958084,1,Kontrolle,2026-01-05,DM,nl
2026-01-05 12:40:16,NF,2769849247272836,1,Kontrolle,2026-01-05,DM,sg
2026-01-05 12:40:16,NF,7273448874643332,1,Kontrolle,2026-01-05,DM,se
2026-01-05 12:40:16,NF,1643949340430212,1,Kontrolle,2026-01-05,DM,tr
2026-01-05 12:40:16,NF,6147548967800708,1,Kontrolle,2026-01-05,DM,pl
2026-01-05 12:40:16,NF,7614341485891460,1,Kontrolle,2026-01-05,HI,es
2026-01-05 12:40:16,NF,4658854230429572,1,Kontrolle,2026-01-05,HI,se
2026-01-05 12:40:16,NF,1133681632743300,1,Kontrolle,2026-01-05,HI,es
2026-01-05 12:40:16,NF,3385481446428548,1,Kontrolle,2026-01-05,HI,it
2026-01-05 12:40:16,NF,5074331306692484,1,Kontrolle,2026-01-05,HI,sg
2026-01-05 12:40:16,NF,852206656032644,1,Kontrolle,2026-01-05,HI,it
2026-01-05 12:40:16,NH,7509178600001412,1,Kontrolle,2026-01-05,HI,ca
2026-01-05 12:40:16,NH,1879679065788292,1,Kontrolle,2026-01-05,HI,com
2026-01-05 12:40:16,NH,4975903809605508,1,Kontrolle,2026-01-05,HI,fr
2026-01-05 12:40:16,NH,7227703623290756,1,Kontrolle,2026-01-05,HI,jp
2026-01-05 12:40:16,NH,1598204089077636,1,Kontrolle,2026-01-05,HI,nl
2026-01-05 12:40:16,NH,3850003902762884,1,Kontrolle,2026-01-05,HI,se
2026-01-05 12:40:16,NH,8353603530133380,1,Kontrolle,2026-01-05,HI,tr
2026-01-05 12:40:16,NH,1035254135656324,1,Kontrolle,2026-01-05,HI,pl
2026-01-05 12:40:16,NH,6752714600091524,1,Kontrolle,2026-01-05,HI,nl
2026-01-05 12:40:16,NH,4500914786406276,1,Kontrolle,2026-01-05,HI,sg
2026-01-05 12:40:16,NH,1129812135645060,1,Kontrolle,2026-01-05,HI,au
2026-01-05 12:40:16,NH,3381611949330308,1,Kontrolle,2026-01-05,HI,ca
2026-01-05 12:40:16,NH,7885211576700804,1,Kontrolle,2026-01-05,HI,com
2026-01-05 12:40:16,NH,566862182223748,1,Kontrolle,2026-01-05,HI,co.uk
2026-01-05 12:40:16,NH,5070461809594244,1,Kontrolle,2026-01-05,HI,de
2026-01-05 12:40:16,NH,7322261623279492,1,Kontrolle,2026-01-05,HI,fr
2026-01-05 12:40:16,NH,6196361716436868,1,Kontrolle,2026-01-05,HI,jp
2026-01-05 12:40:16,NH,3944561902751620,1,Kontrolle,2026-01-05,HI,sg
2026-01-05 12:40:16,NH,5914886739726212,1,Kontrolle,2026-01-05,HI,com.mx
2026-01-05 12:40:16,NH,8166686553411460,1,Kontrolle,2026-01-05,HI,de
2026-01-05 13:38:40,NF,3970421632405380,1,Kontrolle,2026-01-05,JHU,newegg
2026-01-05 13:38:40,NF,170509446811524,1,Kontrolle,2026-01-05,JHU,newegg
2026-01-05 13:38:40,NF,2703784237207428,1,Kontrolle,2026-01-05,JHU,newegg
2026-01-05 13:38:40,NF,7981440050532228,1,Kontrolle,2026-01-05,JHU,newegg
2026-01-05 13:38:40,NF,5448165260136324,1,Kontrolle,2026-01-05,JHU,newegg
2026-01-05 13:38:40,NF,7559227585466244,1,Kontrolle,2026-01-05,JHU,newegg
2026-01-05 13:38:40,NF,6714802655334276,1,Kontrolle,2026-01-05,JHU,newegg
2026-01-05 13:38:40,NF,8509205631864708,1,Kontrolle,2026-01-05,JHU,newegg
2026-01-05 13:38:40,NF,4709293446270852,1,Kontrolle,2026-01-05,JHU,newegg
2026-01-05 13:38:40,NF,1419442256285572,1,Kontrolle,2026-01-05,JHU,newegg
2026-01-05 13:38:40,NF,1281154509901700,1,Kontrolle,2026-01-05,JHU,newegg
2026-01-05 13:38:40,NF,4933593818337156,1,Kontrolle,2026-01-05,JHU,newegg
2026-01-05 13:38:40,NF,1555894097809284,1,Kontrolle,2026-01-05,HI,be
2026-01-05 13:38:40,NF,2329950283763588,1,Kontrolle,2026-01-05,HI,pl
