Produktgruppe,RowID,Phase,Datumsfeld,Datum,Mitarbeiter
NA,4222725996547972,1,Kontrolle,2025-07-10,HI
NA,8726325623918468,1,Kontrolle,2025-07-10,HI
NA,2674613624639364,1,Kontrolle,2025-07-10,HI
NA,2674613624639364,2,BE am,2025-07-17,LK
NA,7178213252009860,1,Kontrolle,2025-07-10,HI
NA,6052313345167236,1,Kontrolle,2025-07-10,HI
NA,7741163205431172,1,Kontrolle,2025-07-09,DM
NA,2111663671218052,1,Kontrolle,2025-07-09,DM
NA,6615263298588548,1,Kontrolle,2025-07-09,DM
NA,4363463484903300,1,Kontrolle,2025-07-09,DM
NA,8867063112273796,1,Kontrolle,2025-07-09,DM
NA,70970090065796,1,Kontrolle,2025-07-10,HI
NA,4574569717436292,1,Kontrolle,2025-07-09,DM
NA,2322769903751044,1,Kontrolle,2025-07-09,DM
NA,7107844507832196,1,Kontrolle,2025-07-09,DM
NA,1478344973619076,1,Kontrolle,2025-07-09,DM
NA,2041294927040388,1,Kontrolle,2025-07-10,HI
NA,4293094740725636,1,Kontrolle,2025-07-09,DM
NA,4715307205791620,1,Kontrolle,2025-06-30,SM
NA,2463507392106372,1,Kontrolle,2025-07-09,DM
NA,1337607485263748,1,Kontrolle,2025-07-09,DM
NA,7248581996187524,1,Kontrolle,2025-07-09,DM
NA,1056132508553092,1,Kontrolle,2025-07-09,DM
NA,5102335298768772,1,Kontrolle,2025-07-09,DM
NA,5102335298768772,2,BE am,2025-07-15,LK
NA,2850535485083524,1,Kontrolle,2025-07-09,DM
NA,2850535485083524,2,BE am,2025-07-15,LK
NA,2006110554951556,1,Kontrolle,2025-07-10,HI
NA,2006110554951556,2,BE am,2025-07-18,LK
NA,4257910368636804,2,BE am,2025-07-17,LK
NA,3554222926860164,2,BE am,2025-07-17,LK
NA,1865373066596228,1,Kontrolle,2025-07-09,DM
NA,1865373066596228,2,BE am,2025-07-14,LK
NA,6650447670677380,1,Kontrolle,2025-07-10,HI
NA,6650447670677380,2,BE am,2025-07-15,LK
NA,4609754089525124,1,Kontrolle,2025-07-10,HI
NA,4609754089525124,2,BE am,2025-07-17,LK
NA,2357954275839876,2,BE am,2025-07-17,LK
NA,7424503856631684,1,Kontrolle,2025-07-09,DM
NA,387629438865284,2,BE am,2025-06-23,LK
NA,1513529345707908,2,BE am,2025-07-17,LK
NA,2498691764195204,1,Kontrolle,2025-07-09,DM
NA,7002291391565700,1,Kontrolle,2025-07-09,DM
NA,5876391484723076,1,Kontrolle,2025-07-09,DM
NA,5313441531301764,1,Kontrolle,2025-07-09,DM
NA,6439341438144388,1,Kontrolle,2025-07-09,DM
NA,7283766368276356,1,Kontrolle,2025-07-09,DM
NA,1654266834063236,1,Kontrolle,2025-07-09,DM
NA,1091316880641924,2,BE am,2025-07-17,LK
NA,8972616228540292,2,BE am,2025-07-17,LK
NA,2269993345617796,1,Kontrolle,2025-07-09,DM
NA,5647693066145668,1,Kontrolle,2025-07-09,DM
NA,3395893252460420,1,Kontrolle,2025-07-09,DM
NA,7899492879830916,1,Kontrolle,2025-07-09,DM
NA,299668508643204,1,Kontrolle,2025-07-09,DM
NA,2551468322328452,2,BE am,2025-07-17,LK
NA,5929168042856324,1,Kontrolle,2025-07-09,DM
NA,862618462064516,1,Kontrolle,2025-07-09,DM
NA,5225480601079684,2,BE am,2025-06-23,LK
NA,4099580694237060,2,BE am,2025-07-17,LK
NA,4381055670947716,1,Kontrolle,2025-07-09,DM
NA,4381055670947716,2,BE am,2025-07-15,LK
NA,4592161903480708,1,Kontrolle,2025-07-02,JHU
NA,4592161903480708,2,BE am,2025-07-17,LK
NA,2621837066506116,2,BE am,2025-07-17,LK
NA,3044049531572100,1,Kontrolle,2025-07-10,HI
NA,7547649158942596,1,Kontrolle,2025-07-10,HI
NA,1918149624729476,1,Kontrolle,2025-07-10,HI
NA,6421749252099972,1,Kontrolle,2025-07-10,HI
NA,4169949438414724,1,Kontrolle,2025-07-10,HI
