Produktgruppe,RowID,Phase,Datumsfeld,Datum,Mitarbeiter
NA,1407976229441412,3,K am,2025-08-21,SM
NA,5911575856811908,3,K am,2025-08-26,SM
NA,8163375670497156,3,K am,2025-08-21,SM
NA,7600425717075844,1,Kontrolle,2025-08-19,SM
NA,1970926182862724,1,Kontrolle,2025-09-03,HI
NA,4222725996547972,2,BE am,2025-08-20,SM
NA,4644938461613956,2,BE am,2025-09-05,LK
NA,6896738275299204,1,Kontrolle,2025-09-10,HI
NA,3519038554771332,1,Kontrolle,2025-09-03,HI
NA,8022638182141828,1,Kontrolle,2025-08-27,LK
NA,704288787664772,1,Kontrolle,2025-09-03,HI
NA,2956088601350020,1,Kontrolle,2025-09-01,SM
NA,2956088601350020,2,BE am,2025-09-08,SM
NA,2956088601350020,3,K am,2025-09-08,LK
NA,7459688228720516,1,Kontrolle,2025-09-01,SM
NA,7459688228720516,2,BE am,2025-09-08,SM
NA,1830188694507396,1,Kontrolle,2025-09-11,SM
NA,6333788321877892,1,Kontrolle,2025-09-01,SM
NA,4081988508192644,1,Kontrolle,2025-09-01,SM
NA,4081988508192644,2,BE am,2025-09-09,LK
NA,8585588135563140,1,Kontrolle,2025-09-09,SM
NA,422813810954116,1,Kontrolle,2025-08-27,LK
NA,4926413438324612,1,Kontrolle,2025-09-03,HI
NA,1548713717796740,2,BE am,2025-09-04,LK
NA,5489363391745924,1,Kontrolle,2025-09-01,SM
NA,3237563578060676,1,Kontrolle,2025-09-03,HI
NA,6826369531121540,1,Kontrolle,2025-09-03,HI
NA,3448669810593668,1,Kontrolle,2025-09-03,HI
NA,7389319484542852,1,Kontrolle,2025-09-10,JHU
NA,1759819950329732,3,K am,2025-08-21,SM
NA,6263419577700228,1,Kontrolle,2025-09-01,SM
NA,6263419577700228,2,BE am,2025-09-08,SM
NA,352445066776452,1,Kontrolle,2025-09-01,SM
NA,352445066776452,2,BE am,2025-09-09,LK
NA,4856044694146948,1,Kontrolle,2025-09-03,DM
NA,4856044694146948,2,BE am,2025-09-09,LK
NA,5981944600989572,1,Kontrolle,2025-09-03,DM
NA,5981944600989572,2,BE am,2025-09-05,LK
NA,915395020197764,1,Kontrolle,2025-09-03,DM
NA,5418994647568260,1,Kontrolle,2025-09-03,DM
NA,6544894554410884,3,K am,2025-08-21,SM
NA,211707578421124,1,Kontrolle,2025-09-01,SM
NA,5841207112634244,1,Kontrolle,2025-09-03,DM
NA,3589407298948996,1,Kontrolle,2025-09-10,HI
NA,8093006926319492,1,Kontrolle,2025-09-03,DM
NA,774657531842436,2,BE am,2025-08-21,EK
NA,774657531842436,3,K am,2025-08-27,LK
NA,3026457345527684,1,Kontrolle,2025-09-03,DM
NA,4152357252370308,1,Kontrolle,2025-09-10,HI
NA,8655956879740804,1,Kontrolle,2025-09-10,HI
NA,493182555131780,1,Kontrolle,2025-09-03,DM
NA,493182555131780,2,BE am,2025-09-05,LK
NA,2744982368817028,3,K am,2025-08-21,SM
NA,8374481903030148,2,BE am,2025-08-18,LK
NA,8374481903030148,3,K am,2025-08-26,SM
NA,3307932322238340,3,K am,2025-08-27,LK
NA,7811531949608836,2,BE am,2025-08-19,LK
NA,7811531949608836,3,K am,2025-08-27,LK
NA,2182032415395716,1,Kontrolle,2025-09-03,DM
NA,2182032415395716,2,BE am,2025-09-04,LK
NA,6685632042766212,1,Kontrolle,2025-09-03,DM
NA,6685632042766212,2,BE am,2025-09-05,LK
NA,35785717976964,1,Kontrolle,2025-08-27,LK
NA,6791185159032708,3,K am,2025-08-21,SM
NA,3413485438504836,1,Kontrolle,2025-09-01,SM
NA,598735671398276,1,Kontrolle,2025-09-03,DM
NA,598735671398276,2,BE am,2025-09-09,LK
NA,7354135112454020,1,Kontrolle,2025-09-03,DM
NA,7354135112454020,2,BE am,2025-09-05,LK
NA,6228235205611396,1,Kontrolle,2025-09-10,HI
NA,3976435391926148,1,Kontrolle,2025-09-03,DM
NA,3976435391926148,2,BE am,2025-09-04,LK
NA,8480035019296644,1,Kontrolle,2025-09-10,HI
NA,2569060508372868,1,Kontrolle,2025-09-04,DM
NA,1443160601530244,1,Kontrolle,2025-09-01,SM
NA,1443160601530244,2,BE am,2025-09-08,SM
NA,1443160601530244,3,K am,2025-09-08,LK
NA,8198560042585988,1,Kontrolle,2025-09-01,SM
NA,880210648108932,3,K am,2025-08-26,SM
NA,5383810275479428,1,Kontrolle,2025-09-04,DM
NA,5383810275479428,2,BE am,2025-09-09,LK
NA,6509710182322052,1,Kontrolle,2025-09-04,DM
NA,6509710182322052,2,BE am,2025-09-05,LK
NA,8761509996007300,2,BE am,2025-08-19,LK
NA,8761509996007300,3,K am,2025-08-27,LK
NA,176523206332292,1,Kontrolle,2025-09-04,DM
NA,176523206332292,2,BE am,2025-09-04,LK
NA,8057822554230660,1,Kontrolle,2025-09-04,DM
NA,739473159753604,1,Kontrolle,2025-09-01,SM
NA,739473159753604,2,BE am,2025-09-08,SM
NA,739473159753604,3,K am,2025-09-08,LK
NA,5243072787124100,1,Kontrolle,2025-09-01,SM
NA,5243072787124100,2,BE am,2025-09-08,SM
NA,7494872600809348,1,Kontrolle,2025-09-01,SM
NA,6368972693966724,1,Kontrolle,2025-09-04,DM
NA,6368972693966724,2,BE am,2025-09-09,LK
NA,4117172880281476,1,Kontrolle,2025-09-09,SM
NA,4117172880281476,2,BE am,2025-09-10,LK
NA,8620772507651972,3,K am,2025-09-08,LK
NA,457998183042948,1,Kontrolle,2025-09-04,DM
NA,4961597810413444,1,Kontrolle,2025-09-10,HI
NA,4961597810413444,2,BE am,2025-09-10,LK
NA,8339297530941316,1,Kontrolle,2025-09-01,SM
NA,8339297530941316,2,BE am,2025-09-08,SM
NA,3272747950149508,1,Kontrolle,2025-09-04,DM
NA,2146848043306884,1,Kontrolle,2025-09-04,DM
NA,2146848043306884,2,BE am,2025-09-09,LK
NA,4398647856992132,3,K am,2025-09-08,LK
NA,8902247484362628,3,K am,2025-08-27,LK
NA,6861553903210372,2,BE am,2025-08-19,LK
NA,6861553903210372,3,K am,2025-08-27,LK
NA,1232054368997252,2,BE am,2025-09-04,LK
NA,5735653996367748,2,BE am,2025-08-25,SM
NA,2920904229261188,1,Kontrolle,2025-09-01,SM
NA,2920904229261188,2,BE am,2025-09-08,SM
NA,2920904229261188,3,K am,2025-09-08,LK
NA,6298603949789060,1,Kontrolle,2025-09-02,SM
NA,4046804136103812,1,Kontrolle,2025-09-04,DM
NA,2639429252550532,1,Kontrolle,2025-09-04,DM
NA,2639429252550532,2,BE am,2025-09-05,LK
NA,2639429252550532,3,K am,2025-09-08,LK
NA,7143028879921028,1,Kontrolle,2025-09-10,HI
NA,7143028879921028,2,BE am,2025-09-10,LK
NA,6017128973078404,1,Kontrolle,2025-09-04,DM
NA,3765329159393156,1,Kontrolle,2025-09-04,DM
NA,8268928786763652,1,Kontrolle,2025-09-04,DM
NA,8268928786763652,2,BE am,2025-09-05,LK
NA,3202379205971844,1,Kontrolle,2025-09-02,SM
NA,7705978833342340,1,Kontrolle,2025-09-04,DM
NA,2076479299129220,1,Kontrolle,2025-09-01,SM
NA,2076479299129220,2,BE am,2025-09-08,SM
NA,6580078926499716,1,Kontrolle,2025-09-04,DM
NA,4328279112814468,1,Kontrolle,2025-09-01,SM
NA,246891950509956,1,Kontrolle,2025-09-04,DM
NA,1372791857352580,1,Kontrolle,2025-09-04,DM
NA,8128191298408324,1,Kontrolle,2025-09-04,DM
NA,1935741810773892,1,Kontrolle,2025-09-01,SM
NA,1935741810773892,2,BE am,2025-09-08,SM
NA,4187541624459140,1,Kontrolle,2025-09-01,SM
NA,4187541624459140,2,BE am,2025-09-11,SM
