Änderung am,Produktgruppe,Land/Marketplace,Phase,Feld,Datum,Mitarbeiter
2025-09-05 13:41:12,NA,de,1,Kontrolle,2025-04-07,HI
2025-09-05 13:41:12,NA,de,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,com,1,Kontrolle,2025-04-07,LK
2025-09-05 13:41:12,NA,com,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,co.uk,1,Kontrolle,2025-04-07,HI
2025-09-05 13:41:12,NA,co.uk,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,co.uk,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NA,de,1,Kontrolle,2025-04-07,HI
2025-09-05 13:41:12,NA,de,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,de,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NA,de,1,Kontrolle,2025-04-07,HI
2025-09-05 13:41:12,NA,de,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,sg,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,sg,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NA,de,1,Kontrolle,2025-04-07,HI
2025-09-05 13:41:12,NA,de,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,de,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NA,de,1,Kontrolle,2025-04-07,HI
2025-09-05 13:41:12,NA,de,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-02,JKO
2025-09-05 13:41:12,NH,fr,3,K am,2025-04-07,HI
2025-09-05 13:41:12,NA,co.uk,1,Kontrolle,2025-04-07,HI
2025-09-05 13:41:12,NA,co.uk,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,co.uk,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NA,sg,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,sg,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-02,JKO
2025-09-05 13:41:12,NH,fr,3,K am,2025-04-07,HI
2025-09-05 13:41:12,NA,de,1,Kontrolle,2025-04-07,HI
2025-09-05 13:41:12,NA,de,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,de,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NA,de,1,Kontrolle,2025-04-07,HI
2025-09-05 13:41:12,NA,de,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-02,JKO
2025-09-05 13:41:12,NH,fr,3,K am,2025-04-07,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-02,JKO
2025-09-05 13:41:12,NH,fr,3,K am,2025-04-07,HI
2025-09-05 13:41:12,NA,jp,1,Kontrolle,2025-04-14,DM
2025-09-05 13:41:12,NA,jp,1,Kontrolle,2025-04-25,DM
2025-09-05 13:41:12,NA,se,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,nl,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NF,es,1,Kontrolle,2025-04-28,EK
2025-09-05 13:41:12,NA,com.mx,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,jp,2,BE am,2025-04-14,DM
2025-09-05 13:41:12,NA,nl,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,jp,2,BE am,2025-04-14,DM
2025-09-05 13:41:12,NA,se,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,tr,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,it,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,com.mx,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,jp,2,BE am,2025-04-14,DM
2025-09-05 13:41:12,NA,nl,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,com.mx,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,it,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,nl,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,tr,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,it,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,se,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,pl,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,pl,2,BE am,2025-04-18,EK
2025-09-05 13:41:12,NA,ca,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,ca,2,BE am,2025-04-23,LK
2025-09-05 13:41:12,NA,com,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,com,2,BE am,2025-04-24,LK
2025-09-05 13:41:12,NA,de,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,de,2,BE am,2025-04-18,EK
2025-09-05 13:41:12,NA,es,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,es,2,BE am,2025-04-29,SM
2025-09-05 13:41:12,NA,it,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,nl,1,Kontrolle,2025-04-15,EK
2025-09-05 13:41:12,NA,jp,2,BE am,2025-04-14,DM
2025-09-05 13:41:12,NA,sg,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,sg,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NA,de,1,Kontrolle,2025-04-07,HI
2025-09-05 13:41:12,NA,de,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NF,jp,1,Kontrolle,2025-04-09,HI
2025-09-05 13:41:12,NF,jp,1,Kontrolle,2025-04-28,EK
2025-09-05 13:41:12,NF,jp,1,Kontrolle,2025-04-08,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-02,JKO
2025-09-05 13:41:12,NH,fr,3,K am,2025-04-07,HI
2025-09-05 13:41:12,NA,sg,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,sg,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-04-28,EK
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-02,JKO
2025-09-05 13:41:12,NH,fr,3,K am,2025-04-07,HI
2025-09-05 13:41:12,NA,sg,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,sg,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NA,co.uk,1,Kontrolle,2025-04-07,HI
2025-09-05 13:41:12,NA,co.uk,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,co.uk,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NA,sg,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,sg,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NA,sg,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,sg,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-02,JKO
2025-09-05 13:41:12,NH,fr,3,K am,2025-04-07,HI
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-04-09,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-14,LK
2025-09-05 13:41:12,NH,com.mx,1,Kontrolle,2025-04-07,JHU
2025-09-05 13:41:12,NH,jp,1,Kontrolle,2025-04-07,EK
2025-09-05 13:41:12,NH,jp,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-04-28,EK
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-04-14,SM
2025-09-05 13:41:12,NA,au,2,BE am,2025-04-28,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-04-14,SM
2025-09-05 13:41:12,NA,au,2,BE am,2025-04-14,DM
2025-09-05 13:41:12,NA,au,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NA,co.uk,1,Kontrolle,2025-04-07,HI
2025-09-05 13:41:12,NA,co.uk,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,co.uk,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-02,JKO
2025-09-05 13:41:12,NH,fr,3,K am,2025-04-07,HI
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-04-09,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-14,LK
2025-09-05 13:41:12,NH,com.mx,1,Kontrolle,2025-04-07,JHU
2025-09-05 13:41:12,NA,sg,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,sg,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NH,com.mx,1,Kontrolle,2025-04-07,JHU
2025-09-05 13:41:12,NA,sg,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,sg,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NA,sg,2,BE am,2025-04-08,HI
2025-09-05 13:41:12,NA,sg,3,K am,2025-04-25,DM
2025-09-05 13:41:12,NH,com.mx,1,Kontrolle,2025-04-07,JHU
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-04-09,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-14,LK
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-04-09,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-14,LK
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-04-09,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-14,LK
2025-09-05 13:41:12,NH,com.mx,1,Kontrolle,2025-04-07,JHU
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-04-09,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-14,LK
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-04-09,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-14,LK
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-04-09,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-14,LK
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-04-09,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-14,LK
2025-09-05 13:41:12,NH,ca,1,Kontrolle,2025-04-07,EK
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-04-09,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-14,LK
2025-09-05 13:41:12,NP,be,2,BE am,2025-04-22,HI
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-04-09,HI
2025-09-05 13:41:12,NH,fr,2,BE am,2025-04-14,LK
2025-09-05 13:41:12,NH,ca,1,Kontrolle,2025-04-07,EK
