Änderung am,Produktgruppe,Land/Marketplace,Phase,Feld,Datum,Mitarbeiter
2025-09-05 13:41:12,NA,co.uk,5,Reopen C2 am,2025-06-02,JHU
2025-09-05 13:41:12,NA,sg,5,Reopen C2 am,2025-06-02,JHU
2025-09-05 13:41:12,NA,de,5,Reopen C2 am,2025-06-02,JHU
2025-09-05 13:41:12,NA,tr,5,Reopen C2 am,2025-06-02,JHU
2025-09-05 13:41:12,NA,es,3,K am,2025-06-02,LK
2025-09-05 13:41:12,NA,it,3,K am,2025-06-02,LK
2025-09-05 13:41:12,NA,tr,3,K am,2025-06-02,LK
2025-09-05 13:41:12,NA,com,3,K am,2025-06-02,LK
2025-09-05 13:41:12,NA,co.uk,3,K am,2025-06-02,LK
2025-09-05 13:41:12,NA,be,3,K am,2025-06-02,LK
2025-09-05 13:41:12,NA,ca,1,Kontrolle,2025-06-02,LK
2025-09-05 13:41:12,NA,au,3,K am,2025-06-02,LK
2025-09-05 13:41:12,NA,co.uk,3,K am,2025-06-02,LK
2025-09-05 13:41:12,NA,nl,3,K am,2025-06-02,LK
2025-09-05 13:41:12,NA,se,1,Kontrolle,2025-06-02,LK
2025-09-05 13:41:12,NA,tr,1,Kontrolle,2025-06-02,LK
2025-09-05 13:41:12,NA,ca,3,K am,2025-06-02,LK
2025-09-05 13:41:12,NA,com,3,K am,2025-06-02,LK
2025-09-05 13:41:12,NA,co.uk,3,K am,2025-06-02,LK
2025-09-05 13:41:12,NA,de,1,Kontrolle,2025-06-02,LK
2025-09-05 13:41:12,NA,pl,3,K am,2025-06-02,LK
2025-09-05 13:41:12,NA,com,5,Reopen C2 am,2025-06-02,JHU
2025-09-05 13:41:12,NA,de,5,Reopen C2 am,2025-06-02,JHU
2025-09-05 13:41:12,NA,de,1,Kontrolle,2025-06-02,JHU
2025-09-05 13:41:12,NH,co.uk,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,co.uk,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,de,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,es,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,jp,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,ca,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,com,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,de,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,es,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,it,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,ca,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,co.uk,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,es,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,it,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,es,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NH,it,1,Kontrolle,2025-06-02,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,com,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,com,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,com,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,com,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,com,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,co.uk,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,com,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,com,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,com,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,co.uk,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,com,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,co.uk,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,com,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,co.uk,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,co.uk,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,sg,5,Reopen C2 am,2025-06-03,JHU
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,co.uk,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,co.uk,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,co.uk,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,co.uk,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,co.uk,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,co.uk,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-06-03,SM
2025-09-05 13:41:12,NA,de,5,Reopen C2 am,2025-06-04,JHU
