Änderung am,Produktgruppe,Land/Marketplace,Phase,Feld,Datum,Mitarbeiter
2025-09-05 13:41:12,NT,tr,2,BE am,2025-07-01,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,,ca,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,,com,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,,co.uk,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NA,co.uk,5,Reopen C2 am,2025-07-01,HI
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NA,ca,5,Reopen C2 am,2025-07-01,HI
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,co.uk,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-07-01,HI
2025-09-05 13:41:12,NF,com.mx,5,Reopen C2 am,2025-07-01,HI
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NF,com.mx,5,Reopen C2 am,2025-07-01,HI
2025-09-05 13:41:12,NF,sg,5,Reopen C2 am,2025-07-01,HI
2025-09-05 13:41:12,NF,es,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,it,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,jp,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NH,fr,5,Reopen C2 am,2025-07-01,HI
2025-09-05 13:41:12,NF,nl,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,sg,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,tr,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,pl,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NF,es,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,tr,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NF,co.uk,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,fr,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,com,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,com.mx,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NF,sg,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,com,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,co.uk,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NF,es,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,sg,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NF,com,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,de,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,es,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,sg,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NH,newegg,1,Kontrolle,2025-07-01,JHU
2025-09-05 13:41:12,NF,com.mx,1,Kontrolle,2025-07-01,DM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-07-01,SM
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-07-01,SM
